Style|SKU|prediction|count
TAGS|TAGS|9|1
SHIPPING CHARGES|SHIPPING CHARGES|9|2
TAG PRINTING|TAG PRINTING|8|1
JNE3469|JNE3469-KR-L|8|2
SET191|SET191-KR-PP-XXL|8|2
JNE3273|JNE3273-KR-XS|8|2
SET100|SET100-KR-PP-L|8|2
SET186|SET186-KR-DH-XXXL|8|2
J0239|J0239-SKD-XXL|8|2
JNE3366|JNE3366-KR-1053-XL|8|2
JNE3366|JNE3366-KR-1053-L|8|2
SET110|SET110-KR-PP-XS|8|2
J0119|J0119-TP-L|8|2
SET217|SET217-KR-PP-L|8|2
J0148|J0148-SET-XL|8|2
J0194|J0194-DR-XXXL|8|2
SET226|SET226-KR-PP-XL|8|2
J0202|J0202-TP-XL|8|2
J0283|J0283-SET-S|8|2
SET267|SET267-KR-NP-S|8|2
SET191|SET191-KR-PP-XXXL|8|2
SET252|SET252-KR-PP-XS.|8|2
J0279|J0279-SET-XL|8|2
SET272|SET272-KR-PP-XL|8|2
J0207|J0207-DR-XL|8|2
SET073|SET073-KR-SHA-XXXL|8|2
SET191|SET191-KR-PP-L|8|2
SET226|SET226-KR-PP-L|8|2
J0201|J0201-TP-M|8|2
JNE3639|JNE3639-TP-L|8|2
J0202|J0202-TP-M|8|2
J0023|J0023-TP-S|8|2
SET073|SET073-KR-SHA-XL|8|2
J0279|J0279-SET-L|8|2
J0034|J0034-SET-XL|8|2
SET073|SET073-KR-SHA-S|8|2
SET055|SET055-KR-NP-XS|8|2
JNE3649|JNE3649-TP-S|8|2
SET219|SET219-KR-PP-XL|8|2
JNE3522|JNE3522-KR-M|8|2
JNE3609|JNE3609-KR-M|8|2
J0138|J0138-KR-L|8|2
JNE3501|JNE3501-KR-M|8|2
J0023|J0023-TP-M|8|2
JNE3665|JNE3665-TP-S|8|2
J0282|J0282-SET-XL|8|2
J0239|J0239-SKD-S|8|2
JNE3501|JNE3501-KR-S|8|2
SET226|SET226-KR-PP-XXL|8|2
JNE3674|JNE3674-TU-XL|8|2
J0186|J0186-SET-M|8|2
J0123|J0123-TP-S|8|2
SET038|SET038-KR-PP-L|8|2
SET094|SET094-KR-NP-L|8|2
SET219|SET219-KR-PP-M|8|2
J0194|J0194-DR-XXL|8|2
SET217|SET217-KR-PP-S|8|2
SET268|SET268-KR-NP-XL|8|2
J0138|J0138-KR-XL|8|2
JNE3686|JNE3686-TU-L|8|2
SET272|SET272-KR-PP-XXL|8|2
SET186|SET186-KR-DH-M|8|2
J0023|J0023-TP-L|8|2
J0202|J0202-TP-S|8|2
SET098|SET098-KR-PP-XXXL|8|2
SET183|SET183-KR-DH-M|8|2
SET226|SET226-KR-PP-M|8|2
JNE2170|JNE2170-KR-436-XL|8|2
SET264|SET264-KR-NP-XL|8|2
J0186|J0186-SET-L|8|2
J0208|J0208-DR-XL|8|2
JNE3501|JNE3501-KR-XL|8|2
JNE3674|JNE3674-TU-L|8|2
SET097|SET097-KR-PP-XL|8|2
SET110|SET110-KR-PP-M|8|2
JNE3469|JNE3469-KR-XXXL|8|2
SET219|SET219-KR-PP-S|8|2
J0197|J0197-TP-S|8|2
J0148|J0148-SET-XXXL|8|2
JNE3555|JNE3555-KR-L|8|2
JNE3469|JNE3469-KR-M|8|2
J0148|J0148-SET-L|8|2
SET262|SET262-KR-NP-M|8|2
SET264|SET264-KR-NP-M|8|2
SET183|SET183-KR-DH-XXXL|8|2
